match_id,player_name,event_type,minute
6581208264271495222,Bobby Benmore,subsoff,75.0
6581208264271495222,Callum Fisher,subsoff,70.0
6581208264271495222,Choice Omatseye,redcard,69.0
6581208264271495222,Henry Page,subsoff,45.0
6581208264271495222,harry marshall,goal,65.0
6581208264271495222,Zak Morris,subson,75.0
6581208264271495222,Tommy Ruffle,subson,75.0
6581208264271495222,OWEN TAYLOR,subson,45.0
6581208264271495222,Jack White,subson,70.0
6581208264271495222,Hugo Columbus,yellowcard,
6581208264271495222,George Myers,goal,
6581208264271495222,Henry Huckle,goal,
6758954495259801964,Bobby Benmore,subsoff,75.0
6758954495259801964,Callum Fisher,subsoff,70.0
6758954495259801964,Choice Omatseye,redcard,69.0
6758954495259801964,Henry Page,subsoff,45.0
6758954495259801964,harry marshall,goal,65.0
6758954495259801964,Zak Morris,subson,75.0
6758954495259801964,Tommy Ruffle,subson,75.0
6758954495259801964,OWEN TAYLOR,subson,45.0
6758954495259801964,Jack White,subson,70.0
6758954495259801964,Hugo Columbus,yellowcard,
6758954495259801964,George Myers,goal,
6758954495259801964,Henry Huckle,goal,
6758954495259801964,Bobby Benmore,subsoff,75.0
6758954495259801964,Callum Fisher,subsoff,70.0
6758954495259801964,Choice Omatseye,redcard,69.0
6758954495259801964,Henry Page,subsoff,45.0
6758954495259801964,harry marshall,goal,65.0
6758954495259801964,Zak Morris,subson,75.0
6758954495259801964,Tommy Ruffle,subson,75.0
6758954495259801964,OWEN TAYLOR,subson,45.0
6758954495259801964,Jack White,subson,70.0
6758954495259801964,Hugo Columbus,yellowcard,
6758954495259801964,George Myers,goal,
6758954495259801964,Henry Huckle,goal,
6271772382905271761,Bobby Benmore,subsoff,75.0
6271772382905271761,Callum Fisher,subsoff,70.0
6271772382905271761,Choice Omatseye,redcard,69.0
6271772382905271761,Henry Page,subsoff,45.0
6271772382905271761,harry marshall,goal,65.0
6271772382905271761,Zak Morris,subson,75.0
6271772382905271761,Tommy Ruffle,subson,75.0
6271772382905271761,OWEN TAYLOR,subson,45.0
6271772382905271761,Jack White,subson,70.0
6271772382905271761,Hugo Columbus,yellowcard,
6271772382905271761,George Myers,goal,
6271772382905271761,Henry Huckle,goal,
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Bobby Benmore,subsoff,75.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Callum Fisher,subsoff,70.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Choice Omatseye,redcard,69.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Henry Page,subsoff,45.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,harry marshall,goal,65.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Zak Morris,subson,75.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Tommy Ruffle,subson,75.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,OWEN TAYLOR,subson,45.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Jack White,subson,70.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Hugo Columbus,yellowcard,
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,George Myers,goal,
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Henry Huckle,goal,
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Bobby Benmore,subsoff,75.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Callum Fisher,subsoff,70.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Choice Omatseye,redcard,69.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Henry Page,subsoff,45.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,harry marshall,goal,65.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Zak Morris,subson,75.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Tommy Ruffle,subson,75.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,OWEN TAYLOR,subson,45.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Jack White,subson,70.0
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Hugo Columbus,yellowcard,
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,George Myers,goal,
10/12/25_H:Billericay_Town_A:Bishop's_Stortford,Henry Huckle,goal,
